"brain_region","gene","cor_estimate","p_value","significance"
"hippocampus","NUCB2",-0.21746967811277,0.0361060904282928,""
"hippocampus","GAL",-0.105499396660131,0.265198460857058,""
"hippocampus","PTHLH",-0.341087814862969,0.000381254629575884,"*"
"hippocampus","TAC3",-0.346097234705007,0.000271618576195652,"*"
"hippocampus","NXPH4",-0.0955631944710436,0.340519675958704,""
"hippocampus","NTS",-0.102202715667093,0.34529514169494,""
"hippocampus","IGF1",-0.163519842872413,0.102067982526469,""
"hippocampus","CBLN3",-0.122605591151841,0.241975839154743,""
"hippocampus","CHGA",-0.236263701798621,0.0136499712363218,""
"hippocampus","SCG5",-0.343853695598414,0.000370943992801256,"*"
"hippocampus","SCG3",-0.231284490557304,0.0118454411828897,""
"hippocampus","NMB",-0.0160451678829105,0.882939514903858,""
"hippocampus","CBLN1",-0.253012438365433,0.013211681447542,""
"hippocampus","GAST",-0.106116419184719,0.282163196630707,""
"hippocampus","HCRT",-0.205311790873887,0.0344284528378448,""
"hippocampus","NXPH3",-0.261807362739919,0.0033816469303167,"*"
"hippocampus","ADCYAP1",-0.186808896020887,0.0431691376567215,""
"hippocampus","CBLN2",-0.272473852272517,0.00728156512791443,"*"
"hippocampus","RETN",-0.00758995821307486,0.945340356102954,""
"hippocampus","PDYN",-0.0217665527777389,0.817933829672321,""
"hippocampus","GNRH2",-0.121733402916084,0.24068018413977,""
"hippocampus","OXT",-0.027901423959404,0.779679178334452,""
"hippocampus","CHGB",-0.189780146767891,0.0463389002436432,""
"hippocampus","GHRH",-0.101983381830972,0.309731330903501,""
"hippocampus","CBLN4",-0.356804085068721,0.000411854414458802,"*"
"hippocampus","EDN3",-0.223943995716841,0.040700073760083,""
"hippocampus","APLN",-0.036513852189273,0.725384505408567,""
"frontal_cortex_ba9","CORT",-0.361041352623905,0.000171255219421392,"*"
"frontal_cortex_ba9","NPPA",-0.189059180561186,0.038902330350738,""
"frontal_cortex_ba9","PROK1",-0.0105859075330167,0.910229146147885,""
"frontal_cortex_ba9","POMC",-0.0597040390736184,0.543688715204481,""
"frontal_cortex_ba9","UCN",-0.0333697269268154,0.7175218483617,""
"frontal_cortex_ba9","NXPH2",-0.315825016582853,0.000827995593596564,"*"
"frontal_cortex_ba9","SCG2",-0.248941049016921,0.0107698286815752,""
"frontal_cortex_ba9","NPPC",-0.182340733646877,0.0503926042867483,""
"frontal_cortex_ba9","GHRL",-0.0557344389473216,0.528098441005338,""
"frontal_cortex_ba9","CCK",-0.195224865943082,0.0435892299770423,""
"frontal_cortex_ba9","UCN2",-0.0739295974063114,0.459759399831261,""
"frontal_cortex_ba9","PROK2",-0.118138764328454,0.211216320701344,""
"frontal_cortex_ba9","TRH",-0.229932046067161,0.0211403277824415,""
"frontal_cortex_ba9","KNG1",-0.0727095069492512,0.409033255685156,""
"frontal_cortex_ba9","ADIPOQ",-0.121742007553976,0.223545023207221,""
"frontal_cortex_ba9","SST",-0.378528859824733,6.81704747623311e-05,"*"
"frontal_cortex_ba9","NMU",-0.407058956744312,2.51845501615992e-05,"*"
"frontal_cortex_ba9","PRL",-0.0594974668032945,0.500855200623184,""
"frontal_cortex_ba9","SCGN",-0.223431012948599,0.0192118806911453,""
"frontal_cortex_ba9","VIP",-0.240718219487197,0.00971487641164734,"*"
"frontal_cortex_ba9","NXPH1",-0.389617783388499,3.73945699042372e-05,"*"
"frontal_cortex_ba9","NPY",-0.292403561905162,0.00240784028342635,"*"
"frontal_cortex_ba9","TAC1",-0.358978600971061,6.65441624800741e-05,"*"
"frontal_cortex_ba9","VGF",-0.1948289991574,0.0635201934134496,""
"frontal_cortex_ba9","NAMPT",-0.0640063171977651,0.516584840782235,""
"frontal_cortex_ba9","GNRH1",-0.0727730177865058,0.431764317381878,""
"frontal_cortex_ba9","PNOC",-0.363401109070287,8.39743295648849e-05,"*"
"frontal_cortex_ba9","PENK",-0.267956006450973,0.00327575817236639,"*"
"frontal_cortex_ba9","CRH",-0.279924552940174,0.00649045904235348,"*"
"frontal_cortex_ba9","RLN1",-0.0674567893442699,0.499632398700686,""
"frontal_cortex_ba9","QRFP",-0.0282747777138332,0.780463899605359,""
"frontal_cortex_ba9","UCN3",-0.0142732177389842,0.8706723317581,""
"frontal_cortex_ba9","INS",-0.00441196579977947,0.958857506770099,""
"frontal_cortex_ba9","CALCB",-0.126600766850112,0.220525796045547,""
